candidate_id,rank,score,reasoning
CAND_0046278,54,0.850972,Senior Software Engineer (ML) with 4.6 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0077498,55,0.849493,Senior Software Engineer (ML) with 5.4 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0089249,56,0.84883,Senior Software Engineer (ML) with 3.1 yrs exp; open to work; recent search visibility
CAND_0093912,57,0.847937,Senior Data Scientist with 5.3 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0058412,58,0.846217,Senior Software Engineer (ML) with 6.6 yrs exp; recent search visibility
CAND_0098624,59,0.845865,Senior Software Engineer (ML) with 6.3 yrs exp; open to work; recent search visibility
CAND_0073314,60,0.845712,Senior Software Engineer (ML) with 5.2 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0036173,61,0.845655,Senior Software Engineer (ML) with 3.2 yrs exp; good recruiter response; recent search visibility
CAND_0052328,62,0.845181,Recommendation Systems Engineer with 6.5 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0045027,63,0.844919,Senior Software Engineer (ML) with 3.0 yrs exp; good recruiter response; recent search visibility
CAND_0046313,64,0.844144,Senior Software Engineer (ML) with 5.8 yrs exp; open to work; recent search visibility
CAND_0040092,65,0.843934,Senior Software Engineer (ML) with 4.4 yrs exp; open to work; recent search visibility
CAND_0054271,66,0.843913,Senior Software Engineer (ML) with 5.8 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0088526,67,0.84318,Senior Software Engineer (ML) with 4.6 yrs exp; good recruiter response; recent search visibility
CAND_0042690,68,0.842994,Senior Software Engineer (ML) with 6.3 yrs exp; recent search visibility
CAND_0062772,69,0.842343,Senior Software Engineer (ML) with 6.6 yrs exp; good recruiter response; recent search visibility
CAND_0066791,70,0.842295,Senior Software Engineer (ML) with 5.6 yrs exp; open to work; recent search visibility
CAND_0082086,71,0.841683,Senior Software Engineer (ML) with 6.0 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0066309,72,0.84158,Senior Software Engineer (ML) with 5.3 yrs exp; good recruiter response; recent search visibility
CAND_0087744,73,0.841505,Senior Software Engineer (ML) with 3.9 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0060835,74,0.841504,Senior Software Engineer (ML) with 6.6 yrs exp; open to work; recent search visibility
CAND_0033842,75,0.841473,Senior Software Engineer (ML) with 5.8 yrs exp; open to work; recent search visibility
CAND_0082913,76,0.840809,Senior Software Engineer (ML) with 5.5 yrs exp; good recruiter response; recent search visibility
CAND_0095042,77,0.840102,Senior Software Engineer (ML) with 5.1 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0070242,78,0.839074,Senior Software Engineer (ML) with 4.3 yrs exp; good recruiter response; recent search visibility
CAND_0014683,79,0.838451,Senior Software Engineer (ML) with 5.6 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0061265,80,0.838381,Recommendation Systems Engineer with 6.6 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0025923,81,0.838286,Senior Software Engineer (ML) with 5.0 yrs exp; good recruiter response; recent search visibility
CAND_0003609,82,0.837781,Senior Software Engineer (ML) with 6.1 yrs exp; good recruiter response; recent search visibility
CAND_0068410,83,0.836693,Senior Software Engineer (ML) with 5.8 yrs exp; open to work; recent search visibility
CAND_0064331,84,0.836537,Senior Software Engineer (ML) with 4.2 yrs exp; good recruiter response; recent search visibility
CAND_0065927,85,0.836462,Senior Software Engineer (ML) with 6.5 yrs exp; recent search visibility
CAND_0043125,86,0.835785,Senior Software Engineer (ML) with 5.3 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0084460,87,0.835195,Senior Software Engineer (ML) with 5.6 yrs exp; open to work; recent search visibility
CAND_0020049,88,0.835024,Senior Software Engineer (ML) with 3.8 yrs exp; good recruiter response
CAND_0066376,89,0.834751,Applied ML Engineer with 5.7 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0045250,90,0.833029,Applied ML Engineer with 6.6 yrs exp; good recruiter response; recent search visibility
CAND_0088438,91,0.832135,Senior Software Engineer (ML) with 6.6 yrs exp; recent search visibility
CAND_0075249,92,0.831844,Applied ML Engineer with 6.2 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0004555,93,0.830619,Senior Software Engineer (ML) with 5.0 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0072218,94,0.830334,Senior Software Engineer (ML) with 6.8 yrs exp; open to work; recent search visibility
CAND_0034645,95,0.829651,Senior Software Engineer (ML) with 3.7 yrs exp; good recruiter response; recent search visibility
CAND_0041696,96,0.829631,Senior Software Engineer (ML) with 6.2 yrs exp; open to work; recent search visibility
CAND_0088878,97,0.828636,Senior Software Engineer (ML) with 4.4 yrs exp; recent search visibility
CAND_0044883,98,0.828322,AI Engineer with 6.3 yrs exp; good recruiter response; recent search visibility
CAND_0079688,99,0.828243,Senior Software Engineer (ML) with 3.3 yrs exp; good recruiter response; recent search visibility
CAND_0092714,100,0.827628,Senior Software Engineer (ML) with 4.2 yrs exp; good recruiter response; recent search visibility
